Name,Address,Borough,Latitude,Longitude,Pros,Cons
Waterstones,"Lower Ground Floor, Waterstones, 82 Gower St, London WC1E 6EQ",Camden,51.5225,-0.1303,"- Great location
- Great vibe (next to Waterstones)
- Sockets available
- Great Hotspot coverage (up to 450mb/s)
- Stamp cards available (free drinks)","- Bar chairs are too short so would be better to go with those normal ones
- Beverages are more expensive (£3-4)"
The Wren Coffee,"114 Queen Victoria St, London EC4V 4BJ",City of London,51.5124,-0.1001,"- Great location (near St Paul's)
- Great vibe (inside a church; Great for creativity)
- Sockets available
- Great Hotspot coverage (up to 200MB/s)","- No stamp cards available 
- No membership
- Opened during weekdays only"
EVE,"202 Cromwell Rd, London SW5 0SW",Kensington and Chelsea,51.4938,-0.1917,"- Great interior design (Arab music)
- Sockets available 
- stamp cards available ","- Poor Hotspot coverage (around 30MB/s)
- Limited number of seats for work (restricted area)
- Not laptop friendly during weekends"
Host Café,"St Mary Aldermary, Watling St, London EC4M 9BW",City of London,51.5126,-0.0933,"- Great location (near St Paul's)
- Great vibe (inside a church; Great for creativity)","- Sockets not available
- Opened during weekdays"
Southbank Centre,"Southbank Centre, Belvedere Rd, London SE1 8XX",Lambeth,51.5058,-0.1166,"- Great Location (near Waterloo station)
- Sockets available
- No need to buy drinks or food
- Great for a walk
- Decent data speed ",- Too noisy (a community centre)
Caffè Nero,"Golden Hind, 3 Cathedral St, London SE1 9DE",Southwark,51.5063,-0.0905,"- Great location (near Tower bridge)
- Great vibe (bookshelves available)","- Sockets not available?
- Poor data speed
- Too noisy"
"The Hoxton, Shoreditch","81 Great Eastern St, London EC2A 3HU",Hackney,51.5264,-0.0811,- Fancy Interior Design,"- Limited space
- Poor hotspot connection"
Starbucks Coffee,"126 Baker St, London W1M 1FH",Westminster,51.5215,-0.1578,"- Nice Location
- Great interior design for deep work","- Seems no sockets available
- Poor hotspot connection (basement)"
Roasting Plant Coffee,"4 Borough High St, London SE1 9QQ",Southwark,51.5059,-0.0898,"- Great location 
- Sockets available
- Great Hotspot connection (100-300Mbps)",- Limited space
"The Hoxton, Holborn","199-206 High Holborn, London WC1V 7BD",Camden,51.5171,-0.1226,"- Great location (2 mins from Holborn station)
- Lots of tables available at the lobby
- Fancy interior design
- Sockets available",- Poor hotspot connection (less than 10Mbps)
Barbican Cinema Café & Bar,"Beech St, Barbican, London EC1Y 4SB",City of London,51.5202,-0.0934,"- Great Location (5 minutes walk from Barbican station)
- Decent hotspot connection (50-100 Mbps)
- Sockets available",- Limited space
"The Hoxton, Southwark","40 Blackfriars Rd, London SE1 8NY",Southwark,51.5056,-0.1044,"- Great Location (3-min walk from Southwark station)
- Great vibe
- Sockets available ",- No hotspot coverage at all (free WiFi provided)
Caffè Nero,"30 Monmouth St, London WC2H 9HA",Camden,51.5134,-0.1265,"- Nice hotspot coverage
- Sockets available",- Limited seats and Sockets available
WatchHouse Covent Garden,"28-29 Southampton St, London WC2E 7PG",Westminster,51.5108,-0.1226,"- Great location
- Sockets available (at least at the ground floor)","- Poor hotspot coverage
- Expensive flat white I've ever heard (£4.61)"
Pret A Manger,"Old Change House, 128 Queen Victoria St, London EC4V 4BY",City of London,51.5121,-0.1023,"- Crazily fast hotspot speed (> 530Mbps)
- Plenty of tables
- Great location (Central)","- Limited sockets available (near the window)
- Can be noisy during weekday (coffee meet-ups)"
Costa Coffee,"Units 14, 15 Bishops Square, Brushfield St, London E1 6EG",Tower Hamlets,51.5204,-0.0768,"- Great hotspot speed (> 200Mbps)
- Sockets available
- Great location (near Liverpool Street Station)",- Limited seats
Blank Street Coffee,"14 Curzon St, London W1J 5HN",Westminster,51.5065,-0.1472,"- Great hotspot coverage (~150Mbps)
- Great vibe","- No sockets available 
- Limited seats available"
Starbucks Coffee,"112-116 New Oxford St, London WC1A 1HH",Camden,51.5168,-0.1292,"- Great location and vibe (especially upstairs)
- Sockets available",- Poor hotspot coverage available (4G only)
Pret A Manger,"47 Great Peter St, London SW1P 3LT",Westminster,51.4969,-0.1301,- Great Internet speed (>150Mbps),"- Limited seats available 
- Limited sockets available (near wall only; I only saw three)"
Caffè Nero,"53 Marsham St, London SW1P 3DP",Westminster,51.4958,-0.1305,"- Excellent Internet speed (>250Mbps)
- Plenty of seats available ",- Limited Sockets available (I saw three only at the end of cafe)
Caffè Nero,"167 Finchley Rd, South Hampstead, London NW3 6LB",Camden,51.5451,-0.1793,"- Great location (3 mins away from tube station)
- Enough seats available
- Decent internet hotspot speed (< 100 Mbps)",- Fewer sockets available (either at the back or near the pillar)
Costa Coffee,"1 Aldgate, London EC3N 1RE",City of London,51.5162,-0.0695,"- Create hotspot coverage (~180 Mbps)
- Excellent location
- AC is relatively strong",- Limited sockets (4 pairs available on the right-hand side of the shop)
Caffè Nero,"Euston Station, Unit 12 Colonnade, London NW1 2DU",Camden,51.5281,-0.1336,"- Fantastic location (near Euston station)
- Sockets available",- Poor hotspot coverage during weekday (~50Mbps)
Pret A Manger,"190 Strand, Temple, London WC2R 1DP",Westminster,51.5117,-0.1158,"- Excellent hotspot speed (> 200Mbps)
- Plenty of seats and sockets available",
The Garden Room,"Middle Temple Ln, Temple, London EC4Y 9BT",City of London,51.5121,-0.1109,"- Plenty of seats and table
- doesnt look like you need to buy a drink or food before entering
- Plenty of sockets available (ground floor and basement)
","- Poor hotspot speed in the basement (20-40Mbps)
- Better hotspot speed near the window (facing the garden; > 100Mbps)
- Cheap coffee (large Americano costs £3.1)"
Caffè Nero,"25 Farringdon St, London EC4A 4AB",City of London,51.5156,-0.1044,- Plenty of seats and table,"- Sockets on one side of the cafe 
- Poor hotspot speed (70Mbps)"
Caffè Nero,"8-11 Upper Woburn Pl, London WC1H 0JW",Camden,51.5273,-0.1301,- Plenty of sockets available ,"- Poor internet hotspot speed (<100Mbps)
- Fewer tables and seats available (it’s small)"
SOHO Coffee O2 Shopping Centre,"255 Finchley Rd, London NW3 6LU",Camden,51.5478,-0.1805,"- Excellent internet hotspot speed (~700Mbps)
- plenty of seats
- sockets available",- drinks might be pricy (Flat white: £4)
Urban Baristas,"19 Dacre St, London SW1H 0DJ",Westminster,51.4988,-0.1332,"- Excellent hotspot sharing speed (250+Mbps)
- Plenty of sockets available
- Scandinavian design",- Flat white can be a bit pricy (£4.2) compared to other cafe offerring
Costa Coffee,"7 Olympic Way, London HA9 0NP",Brent,51.5629,-0.2797,"- Decent data speed (130Mbps - tables near window)
- Socket available
- Opening til 6 on Sunday
- Great location (between Wembley stadium and Wembley Park station)",- Few sockets available near tables that are near windows
BOXPARK Wembley,"Olympic Way, Wembley Park, Wembley HA9 0JT",Brent,51.5602,-0.2801,"- Decent Internet hotspot speed (~50 Mbps at the first floor)
- Enough seats and sockets available","- No AC available
- Closed on Sunday"
Starbucks,"Olympic Way, Wembley Park, Wembley HA9 0FR",Brent,51.5615,-0.2798,"- Excellent hotspot coverage (> 200MBps)
- Plenty of seats and sockets available",- The sockets location are pretty bad such that you can’t insert a tall charger on)
Brent Civic Centre,"Engineers Way, Wembley Park, Wembley HA9 0FJ",Brent,51.559,-0.2815,"- Excellent Internet hotspot speed (~ 200Mbps at the first flloor)
- Enough seats available at the first floor","- Fewer sockets available (near bathroom)
- No AC available
- Closed on Sunday"
Costa Coffee,"Unit 49, Wembley Park, Wembley HA9 0FD",Brent,51.5567,-0.2839,- Great Internet hotspot speed (> 130 Mbps near the window),"- Location (far away from Wembley Park station)
- Fewer sockets available"
Pret A Manger,"Units 46, Designer Outlet, 48 Wembley Park Blvd, Wembley Park, Wembley HA9 0FD",Brent,51.5567,-0.2839,"- Excellent hotspot coverage speed (~150 Mbps)
- Plenty of seats
- AC is relatively strong","- 4 pairs of sockets available
- Awful Flat White"
Mowchi Wembley,"Unit 5A, London Designer Outlet, Wembley Park Blvd, Wembley Park, London, Wembley HA9 0TG",Brent,51.5571006,-0.2826392,"- Excellent hotspot speed (>200 Mbps)
- Lovely interior design
- Food and beverage are decently priced
- Stamp cards available in the future (not confirmed)
",- only a few tables for working with laptops
Costa Coffee,"Unit 3 Kings Cross & St Pancra, Euston Rd., London N1 9AL",Camden,51.5303,-0.1235,"- Great location (near Kings Cross station)
- Decent hotspot speed (>100Mbps)
",- 4 sockets available near window
Starbucks,"101 Euston Rd., London NW1 2RA",Camden,51.5291,-0.1278,"- next to British Library
- plenty of seats and sockets (looks like one socket per table
",- Poor hotspot speed (<50Mbps)
Starbucks Coffee,"Starbucks Euston Station The Mezzanine Floor, London NW1 2DU",Camden,51.5284,-0.1331,"- inside Euston station
- excellent hotspot speed (>250Mbps when the station is not full of people)
",- Sockets available but for tables near the wall
Starbucks Coffee,"St. Katherine's House, 10 Kingsway, London WC2B 6LH",Westminster,51.5137,-0.1173,"- near LSE for meetup
- Excellent hotspot speed (300+Mbps; checked at 7am); not sure how it would look like during busy hours
- Plenty of sockets and tables available",
Pret A Manger,"130 W End Ln, London NW6 1SA",Camden,51.5478,-0.1906,"- next to West Hampstead station 
- opens at 7am - 7:30pm on Sunday
- Decent hotspot speed (80-100Mbps)","- Small cafe
- no sockets available"
Costa,"63 - 65 College Rd, Harrow HA1 1FD",Harrow,51.5815,-0.3347,"- plenty of seats and sockets available
- opens at 6am during weekdays and Sat; 7am on Sun
- next to tube station","- Poor hotspot speed (<50Mbps)
- Flat white is bad"
Pret A Manger,"87-88 Strand, London WC2R 0DW",Westminster,51.5103,-0.1214,- Decent hotspot speed (50-100Mbps),- only six sockets available (underneath bar tables)
Caffè Nero,"27 St. Anns Rd, Harrow HA1 1JU",Harrow,51.5811,-0.3375,"- Great location (high street)
- Plenty of sockets available
- Relatively strong AC
- Opens at 8 on Sunday (that's a PLUS!)",- Poor hotspot coverage & speed (~30Mbps)
Costa Coffee,"76-80 St. Anns Rd, Harrow HA1 1JX",Harrow,51.5817,-0.3368,"- Lots of sockets available at both ground and first floor
- Great location","- Poor hotspot speed (~60 Mbps); downstairs near the backdoor
- Terrible flat white"
Pret A Manger,"257-258 Upper St, London N1 1RU, United Kingdom",Islington,51.5428,-0.1021,"- Excellent location (1 min walk from tube station)
- plenty of seats and sockets available (both front and at the back)
- Excellent hotspot speed (> 600Mbps on a Saturday morning)
- Open at 6 during the weekend!",
Euphorium Highbury,"202 Upper St, London N1 1RQ, United Kingdom",Islington,51.5426,-0.1033,"- plenty of seats and sockets available
- fancy interior design 
- Loyalty card available ",- Poor hotspot speed at the back of the cafe (<1Mbps)